Label	ImageSource
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000000.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000001.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000002.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000003.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000004.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000005.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000006.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000007.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000008.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000009.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000010.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000011.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000012.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000013.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000014.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000015.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000016.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000017.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000018.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000019.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000020.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000021.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000022.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000023.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000024.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000025.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000026.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000027.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000028.jpg
Need	C:\Users\John Green\source\repos\PDFSeperator\SeperatePDF\bin\Debug\netcoreapp3.1\test_ml_output2\Need\Need000000029.jpg
